Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
17,260,2,2,72,322,36,36,36.0,0.0,161,161,161.0,0.0,1515384.615,15384.61538,86.666664,148.37901,258,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,80,80,7692.3076,7692.3076,36,161,86.0,68.46532,4687.5,0,0,0,0,0,0,0,0,1,107.5,36.0,161.0,0,0,0,0,0,0,2,72,2,322,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
17,650830,4,4,160,904,40,40,40.0,0.0,226,226,226.0,0.0,1634.835518,12.29199637,92975.71,245786.47,650367,3,650605,216868.33,375620.9,650598,3,650644,216881.33,375565.47,650547,48,0,0,0,0,80,80,6.145998,6.145998,40,226,122.666664,98.03061,9610.0,0,0,0,0,0,0,0,0,1,138.0,40.0,226.0,0,0,0,0,0,0,4,160,4,904,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
17,30837,1,1,49,177,49,49,49.0,0.0,177,177,177.0,0.0,7328.85819,64.85715212,30837.0,0.0,30837,30837,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.428577,32.428577,49,177,91.666664,73.90083,5461.3335,0,0,0,0,0,0,0,0,1,137.5,49.0,177.0,0,0,0,0,0,0,1,49,1,177,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
6,116804,23,27,921,34950,322,0,40.04348,83.06486,2896,0,1294.4445,900.0896,307104.2088,428.0675319,2383.7551,6157.701,23691,0,116804,5309.273,9006.912,25927,3,91132,3505.077,8517.749,35419,4,0,0,0,0,744,872,196.91107,231.15646,0,2896,703.35297,908.4462,825274.56,0,0,0,1,0,0,0,0,1,717.42,40.04348,1294.4445,0,0,0,0,0,0,23,921,27,34950,29200,1006,7,32,0.0,0.0,0,0,0.0,0.0,0,0
6,116096138,20,17,978,3922,444,0,48.9,135.13887,979,0,230.70589,427.85596,42.20639967,0.318701385,3.2248928e+06,4.612783e+06,10000000,6,116000000,6.110323e+06,4.808248e+06,10100000,278,111000000,6.965396e+06,4.6779885e+06,10100000,2811,0,0,0,0,436,484,0.17227101,0.14643037,0,979,128.94737,311.7852,97210.0,0,0,0,1,0,0,0,0,0,132.43243,48.9,230.70589,0,0,0,0,0,0,20,978,17,3922,8192,123,17,20,144710.0,378791.78,1286792,29553,9.986748e+06,74208.914,10000000,9767614
6,100006731,5,8,325,11595,313,0,65.0,138.66867,5792,0,1449.375,2046.6735,119.1919772,0.12999125,8.333894e+06,2.88e+07,99800000,1,99800000,2.49e+07,4.99e+07,99800000,4,100000000,1.43e+07,3.77e+07,99800000,1,0,0,0,0,144,264,0.049996637,0.07999462,0,5792,851.8571,1665.6354,2.7743412e+06,1,0,0,0,0,0,0,0,1,917.38464,65.0,1449.375,0,0,0,0,0,0,5,325,8,11595,0,235,2,20,9997.0,0.0,9997,9997,9.98e+07,0.0,99800000,99800000
6,83396292,9,5,300,11595,300,0,33.333332,100.0,8688,0,2319.0,3774.2375,142.6322408,0.167873171,6.4150995e+06,2.31e+07,83200000,2,83300000,1.04e+07,2.94e+07,83200000,2,146635,36658.75,66487.45,136143,191,0,0,0,0,296,168,0.10791846,0.059954703,0,8688,793.0,2307.2175,5.3232535e+06,0,0,0,0,1,0,0,0,0,849.6429,33.333332,2319.0,0,0,0,0,0,0,9,300,5,11595,251,235,1,32,1977.0,0.0,1977,1977,8.32e+07,0.0,83200000,83200000
6,145888,12,8,3214,2415,1448,0,267.83334,553.0885,2277,0,301.875,799.53064,38584.3935073481,137.091467427067,7678.316,12526.535,42485,3,145888,13262.546,19768.309,63658,3,115266,16466.572,16320.545,42485,3,0,0,0,0,396,264,82.25488,54.836586,0,2277,268.0476,629.3141,396036.25,0,0,0,1,0,0,0,0,0,281.45,267.83334,301.875,0,0,0,0,0,0,12,3214,8,2415,65535,1120,7,32,0.0,0.0,0,0,0.0,0.0,0,0
17,1157,2,2,96,148,48,48,48.0,0.0,74,74,74.0,0.0,210890.233362143,3457.21694036301,385.66666,664.5309,1153,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,1728.6085,1728.6085,48,74,58.4,14.240787,202.8,0,0,0,0,0,0,0,0,1,73.0,48.0,74.0,0,0,0,0,0,0,2,96,2,148,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
6,19,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,631578.947368421,105263.157894737,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,52631.58,52631.58,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,52,16425,0,20,0.0,0.0,0,0,0.0,0.0,0,0
17,30734,2,2,80,202,40,40,40.0,0.0,101,101,101.0,0.0,9175.50595431769,130.14902062862,10244.667,17739.088,30728,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,65.07451,65.07451,40,101,64.4,33.411076,1116.3,0,0,0,0,0,0,0,0,1,80.5,40.0,101.0,0,0,0,0,0,0,2,80,2,202,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
6,88877518,7,10,643,1548,267,6,91.85714,120.63779,636,6,154.8,237.18526,24.6519035331297,0.191274468308172,5.554845e+06,1.512009e+07,44951544,1,88877518,1.481292e+07,2.2872426e+07,45003995,185,45209518,5.02328e+06,1.4992809e+07,45004046,1,1,0,0,0,140,200,0.07876007,0.11251439,6,636,136.5,192.15535,36923.676,0,1,0,0,1,0,0,0,1,144.52942,91.85714,154.8,0,0,0,0,0,0,7,643,10,1548,258,268,6,20,155303.0,101.82338,155375,155231,4.4283456e+07,944819.1,44951544,43615368
6,4110494,5,2,129,92,46,0,25.8,21.799082,46,46,46.0,0.0,53.76482729,1.702958331,685082.3,1.6075632e+06,3965556,4,4110494,1.0276235e+06,1.9596345e+06,3965556,4,101967,101967.0,0.0,101967,101967,1,0,0,0,112,40,1.2163988,0.4865595,0,46,33.375,19.515104,380.8393,0,1,0,0,1,0,0,0,0,38.142857,25.8,46.0,0,0,0,0,0,0,5,129,2,92,254,119,3,20,0.0,0.0,0,0,0.0,0.0,0,0
6,62986,6,4,121,3110,121,0,20.166666,49.398045,1338,0,777.5,671.02386,51297.11364,158.7654399,6998.4443,12272.154,28683,48,62986,12597.2,14840.976,28881,69,29332,9777.333,16709.867,29072,49,0,0,0,0,204,136,95.25926,63.506176,0,1338,293.72726,532.39575,283445.22,0,0,0,1,0,0,0,0,0,323.1,20.166666,777.5,0,0,0,0,0,0,6,121,4,3110,65535,4050,1,32,0.0,0.0,0,0,0.0,0.0,0,0
6,62,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32258.06452,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16129.032,16129.032,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,421,441,0,32,0.0,0.0,0,0,0.0,0.0,0,0
17,522,1,1,61,116,61,61,61.0,0.0,116,116,116.0,0.0,339080.4598,3831.417625,522.0,0.0,522,522,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,1915.7089,1915.7089,61,116,79.333336,31.754265,1008.3333,0,0,0,0,0,0,0,0,1,119.0,61.0,116.0,0,0,0,0,0,0,1,61,1,116,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
6,62358112,7,2,187,92,46,6,26.714285,20.089087,46,46,46.0,0.0,4.474157268,0.144327654,7.794764e+06,2.03e+07,58000000,3,62400000,1.04e+07,2.34e+07,58000000,3,58100000,5.81e+07,0.0,58100000,58100000,1,0,0,0,140,40,0.11225484,0.032072812,6,46,32.5,18.863544,355.83334,0,1,0,0,1,0,0,0,0,36.11111,26.714285,46.0,0,0,0,0,0,0,7,187,2,92,257,434,6,20,93568.0,0.0,93568,93568,5.8e+07,0.0,58000000,58000000
17,598360,2,2,70,284,35,35,35.0,0.0,142,142,142.0,0.0,591.6170867,6.684938833,199453.33,345420.0,598310,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,40,3.3424695,3.3424695,35,142,77.8,58.60631,3434.7,0,0,0,0,0,0,0,0,1,97.25,35.0,142.0,0,0,0,0,0,0,2,70,2,284,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
6,5090697,9,5,352,2937,195,0,39.11111,71.6719,1448,0,587.4,781.3378,646.0804876,2.750114572,391592.06,1.3511895e+06,4888083,18,5090697,636337.1,1.7182612e+06,4888083,18,114762,28690.5,31820.346,58099,222,0,0,0,0,296,168,1.7679307,0.98218375,0,1448,219.26666,500.0602,250060.2,0,0,0,1,0,0,0,0,0,234.92857,39.11111,587.4,0,0,0,0,0,0,9,352,5,2937,29200,110,3,32,0.0,0.0,0,0,0.0,0.0,0,0
17,212,2,2,58,430,29,29,29.0,0.0,215,215,215.0,0.0,2301886.792,18867.92453,70.666664,81.40229,161,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,9433.962,9433.962,29,215,103.4,101.876396,10378.8,0,0,0,0,0,0,0,0,1,129.25,29.0,215.0,0,0,0,0,0,0,2,58,2,430,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
17,24018,2,2,92,300,46,46,46.0,0.0,150,150,150.0,0.0,16321.09251,166.5417603,8006.0,13824.38,23969,3,46,46.0,0.0,46,46,3,3.0,0.0,3,3,0,0,0,0,64,64,83.27088,83.27088,46,150,87.6,56.963146,3244.8,0,0,0,0,0,0,0,0,1,109.5,46.0,150.0,0,0,0,0,0,0,2,92,2,300,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
6,5573761,8,5,616,2459,342,0,77.0,126.091805,1460,2,491.8,664.6399,551.692116,2.332356913,464480.1,1.3704554e+06,4807845,3,5573761,796251.56,1.7739275e+06,4807845,3,396310,99077.5,113540.41,214404,189,0,0,0,0,172,104,1.4352965,0.89706033,0,1460,219.64285,434.97525,189203.48,0,0,0,1,0,0,0,0,0,236.53847,77.0,491.8,0,0,0,0,0,0,8,616,5,2459,8192,34952,7,20,0.0,0.0,0,0,0.0,0.0,0,0
6,37,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54054.05405,37.0,0.0,37,37,37,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0,0,0,64,0,54054.055,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,245,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
6,5060265,7,4,635,168,517,0,90.71429,190.7072,168,0,42.0,84.0,158.6873415,2.173799198,506026.5,1.5470368e+06,4908342,3,5060265,843377.5,2.0294118e+06,4985732,3,115168,38389.332,38722.227,77672,253,0,0,0,0,232,136,1.3833268,0.79047245,0,517,66.916664,150.84879,22755.355,0,0,0,1,0,0,0,0,0,73.0,90.71429,42.0,0,0,0,0,0,0,7,635,4,168,29200,340,3,32,0.0,0.0,0,0,0.0,0.0,0,0
17,107811854,2,2,90,302,49,41,45.0,5.656854,159,143,151.0,11.313708,3.635963815,0.037101672,3.59e+07,6.2e+07,108000000,117095,108000000,1.08e+08,0.0,108000000,108000000,108000000,1.08e+08,0.0,108000000,108000000,0,0,0,0,72,40,0.018550836,0.018550836,41,159,88.2,57.69922,3329.2,0,0,0,0,0,0,0,0,1,110.25,45.0,151.0,0,0,0,0,0,0,2,90,2,302,-1,-1,1,32,117095.0,0.0,117095,117095,1.08e+08,0.0,108000000,108000000
17,23828,1,1,39,71,39,39,39.0,0.0,71,71,71.0,0.0,4616.41766,83.93486654,23828.0,0.0,23828,23828,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,41.967434,41.967434,39,71,49.666668,18.475208,341.33334,0,0,0,0,0,0,0,0,1,74.5,39.0,71.0,0,0,0,0,0,0,1,39,1,71,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
17,218,2,2,86,200,43,43,43.0,0.0,100,100,100.0,0.0,1311926.606,18348.62385,72.666664,119.80122,211,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,9174.312,9174.312,43,100,65.8,31.220186,974.7,0,0,0,0,0,0,0,0,1,82.25,43.0,100.0,0,0,0,0,0,0,2,86,2,200,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
